Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
3LC12899 [PerfumersWorld],Linalyl Propionate,,,PerfumersWorld,0.32,USD (per g),0.32
7CC00280 [PerfumersWorld],Litsea Cubeba Essential Oil,,,PerfumersWorld,0.19,USD (per g),0.19
8NN07699 [PerfumersWorld],Lotus Absolute,,,PerfumersWorld,19.00,USD (per g),19.00
5NN13571 [PerfumersWorld],Lotus Absolute 1% in DPG,,,PerfumersWorld,0.51,USD (per g),0.51
5NN12069 [PerfumersWorld],Lotus Absolute 10% in DPG,,,PerfumersWorld,1.95,USD (per g),1.95
8SW08238 [PerfumersWorld],Lovage Roots Oil,,,PerfumersWorld,8.80,USD (per g),8.80
3MG00282 [PerfumersWorld],Lyral,,,PerfumersWorld,0.23,USD (per g),0.23
6MM18498 [PerfumersWorld],M-MUGUET F-TEC,,,PerfumersWorld,0.18,USD (per g),0.18
6MM08681 [PerfumersWorld],M-Muguet Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
4GL22835 [PerfumersWorld],Maceal,,,PerfumersWorld,0.99,USD (per g),0.99
5GL23703 [PerfumersWorld],Maceal 10% in DPG,,,PerfumersWorld,0.15,USD (per g),0.15
6XD18354 [PerfumersWorld],MACROCYCLIC F-TEC,,,PerfumersWorld,0.15,USD (per g),0.15
6XD09426 [PerfumersWorld],Macrocyclic Fleuressence,,,PerfumersWorld,0.19,USD (per g),0.19
2XX14556 [PerfumersWorld],Macrolide,,,PerfumersWorld,1.12,USD (per g),1.12
3MN13569 [PerfumersWorld],Magnolan,,,PerfumersWorld,0.60,USD (per g),0.60
6CL18121 [PerfumersWorld],MALE FLORAL F-TEC ,,,PerfumersWorld,0.15,USD (per g),0.15
6CL10386 [PerfumersWorld],Male Floral Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
6WC18598 [PerfumersWorld],MALE WOODSY F-TEC,,,PerfumersWorld,0.15,USD (per g),0.15
6WC12407 [PerfumersWorld],Male Woodsy Fleuressence,,,PerfumersWorld,0.27,USD (per g),0.27
1VE00283 [PerfumersWorld],Maltol,,,PerfumersWorld,0.32,USD (per g),0.32
5VE08421 [PerfumersWorld],Maltol 1% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
5VE10963 [PerfumersWorld],Maltol 5% in DPG,,,PerfumersWorld,0.10,USD (per g),0.10
7CA00285 [PerfumersWorld],Mandarin Essential Oil,,,PerfumersWorld,0.50,USD (per g),0.50
6CA18124 [PerfumersWorld],MANDARIN F-TEC ,,,PerfumersWorld,0.16,USD (per g),0.16
6CA09060 [PerfumersWorld],Mandarin Fleuressence,,,PerfumersWorld,0.15,USD (per g),0.15
6FV18841 [PerfumersWorld],MANGO F-TEC,,,PerfumersWorld,0.12,USD (per g),0.12
6FV10907 [PerfumersWorld],Mango Fleuressence,,,PerfumersWorld,0.17,USD (per g),0.17
7HP07679 [PerfumersWorld],Manuka Essential Oil,,,PerfumersWorld,3.30,USD (per g),3.30
4FG15438 [PerfumersWorld],Manzanate,,,PerfumersWorld,0.28,USD (per g),0.28
1VE00286 [PerfumersWorld],Maple Lactone,,,PerfumersWorld,0.71,USD (per g),0.71
5VE09632 [PerfumersWorld],Maple Lactone 10% in DPG,,,PerfumersWorld,0.10,USD (per g),0.10
8HE00557 [PerfumersWorld],Mate Absolute,,,PerfumersWorld,8.50,USD (per g),8.50
5HE13845 [PerfumersWorld],Mate Absolute 10% in DPG,,,PerfumersWorld,0.80,USD (per g),0.80
3MG11691 [PerfumersWorld],Mayol,,,PerfumersWorld,0.35,USD (per g),0.35
6GF18175 [PerfumersWorld],MELON F-TEC,,,PerfumersWorld,0.12,USD (per g),0.12
6FG08392 [PerfumersWorld],Melon Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
4FG00289 [PerfumersWorld],Melonal,,,PerfumersWorld,1.00,USD (per g),1.00
5FG08480 [PerfumersWorld],Melonal 10% in DPG,,,PerfumersWorld,0.14,USD (per g),0.14
1BB00290 [PerfumersWorld],Menthol Crystals,,,PerfumersWorld,0.16,USD (per g),0.16
5BB08460 [PerfumersWorld],Menthol Crystals 50% in DPG,,,PerfumersWorld,0.11,USD (per g),0.11
4BB00291 [PerfumersWorld],Menthone,,,PerfumersWorld,0.40,USD (per g),0.40
5BB08203 [PerfumersWorld],Menthone 10% in DPG,,,PerfumersWorld,0.09,USD (per g),0.09
3LB00292 [PerfumersWorld],Menthyl Acetate,,,PerfumersWorld,0.39,USD (per g),0.39
4LF00294 [PerfumersWorld],Methyl Amyl Ketone,,,PerfumersWorld,0.30,USD (per g),0.30
4NC00295 [PerfumersWorld],Methyl Anthranilate,,,PerfumersWorld,0.12,USD (per g),0.12
5NC12471 [PerfumersWorld],Methyl Anthranilate 10% in DPG,,,PerfumersWorld,0.04,USD (per g),0.04
4NJ00296 [PerfumersWorld],Methyl Benzoate,,,PerfumersWorld,0.07,USD (per g),0.07
5NJ07849 [PerfumersWorld],Methyl Benzoate 10% in DPG,,,PerfumersWorld,0.04,USD (per g),0.04
4PS02272 [PerfumersWorld],Methyl Chavicol,,,PerfumersWorld,0.62,USD (per g),0.62
5PS07822 [PerfumersWorld],Methyl Chavicol 10% in DPG,,,PerfumersWorld,0.12,USD (per g),0.12
2SC00297 [PerfumersWorld],Methyl Cinnamate,,,PerfumersWorld,0.24,USD (per g),0.24
5SC12482 [PerfumersWorld],Methyl Cinnamate 10% in DPG,,,PerfumersWorld,0.05,USD (per g),0.05
5SC07858 [PerfumersWorld],Methyl cinnamate 50% in DPG,,,PerfumersWorld,0.14,USD (per g),0.14
4SP16859 [PerfumersWorld],Methyl Diantilis,,,PerfumersWorld,0.99,USD (per g),0.99
9SW00298 [PerfumersWorld],Methyl Eugenol,,,PerfumersWorld,0.35,USD (per g),0.35
3LF00299 [PerfumersWorld],Methyl Hexyl Ketone,,,PerfumersWorld,0.12,USD (per g),0.12
9SP02300 [PerfumersWorld],Methyl Isoeugenol,,,PerfumersWorld,0.41,USD (per g),0.41
4JN15333 [PerfumersWorld],Methyl Jasmonate,,,PerfumersWorld,12.80,USD (per g),12.80
5VD10871 [PerfumersWorld],METHYL LAITONE 10% DPG,,,PerfumersWorld,0.50,USD (per g),0.50
4LY00304 [PerfumersWorld],Methyl Nonyl Ketone,,,PerfumersWorld,0.32,USD (per g),0.32
4GI00305 [PerfumersWorld],Methyl Octine Carbonate,,,PerfumersWorld,1.23,USD (per g),1.23
5GI07522 [PerfumersWorld],Methyl Octine Carbonate 10% in DPG,,,PerfumersWorld,0.15,USD (per g),0.15
4FC11677 [PerfumersWorld],Methyl Pample Mousse,,,PerfumersWorld,1.06,USD (per g),1.06
5FC19406 [PerfumersWorld],Methyl Pamplemousse 10% in TEC,,,PerfumersWorld,0.20,USD (per g),0.20
3OP00306 [PerfumersWorld],Methyl Salicylate,,,PerfumersWorld,0.08,USD (per g),0.08
5OP07554 [PerfumersWorld],Methyl Salicylate 10% in DPG,,,PerfumersWorld,0.04,USD (per g),0.04
6DD18140 [PerfumersWorld],MILK F-TEC ,,,PerfumersWorld,0.12,USD (per g),0.12
6DD09086 [PerfumersWorld],Milk Fleuressence,,,PerfumersWorld,0.19,USD (per g),0.19
8NG00307 [PerfumersWorld],Mimosa Absolute,,,PerfumersWorld,7.12,USD (per g),7.12
5NG07850 [PerfumersWorld],Mimosa Absolute 10% in DPG,,,PerfumersWorld,0.75,USD (per g),0.75
6NN18760 [PerfumersWorld],MIMOSA F-TEC,,,PerfumersWorld,0.22,USD (per g),0.22
6NN09420 [PerfumersWorld],Mimosa Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
4XU05022 [PerfumersWorld],Muscone,,,PerfumersWorld,4.50,USD (per g),4.50
6YE18885 [PerfumersWorld],MUSHROOM F-TEC,,,PerfumersWorld,0.50,USD (per g),0.50
6YE09107 [PerfumersWorld],Mushroom Fleuressence,,,PerfumersWorld,0.22,USD (per g),0.22
2XA09558 [PerfumersWorld],Musk Concentrate,,,PerfumersWorld,0.19,USD (per g),0.19
1XU00308 [PerfumersWorld],Musk Ketone,,,PerfumersWorld,0.20,USD (per g),0.20
5XU07864 [PerfumersWorld],Musk Ketone 10% in DEP,,,PerfumersWorld,0.06,USD (per g),0.06
5XU09977 [PerfumersWorld],Musk Ketone 10% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
6XY17557 [PerfumersWorld],Musk X Super,,,PerfumersWorld,0.30,USD (per g),0.30
6XU17558 [PerfumersWorld],Musk Xylol REP,,,PerfumersWorld,0.31,USD (per g),0.31
4MA00312 [PerfumersWorld],Myrac Aldehyde,,,PerfumersWorld,0.18,USD (per g),0.18
5MA08478 [PerfumersWorld],Myrac Aldehyde 10% in DPG,,,PerfumersWorld,0.06,USD (per g),0.06
3CQ00313 [PerfumersWorld],Myrcene,,,PerfumersWorld,0.45,USD (per g),0.45
1AA05031 [PerfumersWorld],Myristic Acid,,,PerfumersWorld,0.18,USD (per g),0.18
7QC00314 [PerfumersWorld],Myrrh Essential Oil,,,PerfumersWorld,3.10,USD (per g),3.10
6NJ18033 [PerfumersWorld],N-NARCOTIC F-TEC,,,PerfumersWorld,0.15,USD (per g),0.15
6NJ07696 [PerfumersWorld],N-Narcotic Fleuressence,,,PerfumersWorld,0.21,USD (per g),0.21
7WU09815 [PerfumersWorld],Nagarmotha Oil ,,,PerfumersWorld,1.60,USD (per g),1.60
6NP18957 [PerfumersWorld],NARCISSUS F-TEC ,,,PerfumersWorld,0.18,USD (per g),0.18
6NP08694 [PerfumersWorld],Narcissus Fleuressence,,,PerfumersWorld,0.36,USD (per g),0.36
6GL18214 [PerfumersWorld],NATURELLE F-TEC,,,PerfumersWorld,0.18,USD (per g),0.18
6GL10383 [PerfumersWorld],Naturelle Fleuressence,,,PerfumersWorld,0.48,USD (per g),0.48
6GW18223 [PerfumersWorld],NATURELLE HOMME F-TEC ,,,PerfumersWorld,0.22,USD (per g),0.22
6GG10387 [PerfumersWorld],Naturelle Homme Fleuressence,,,PerfumersWorld,0.50,USD (per g),0.50
4GI02379 [PerfumersWorld],Neofolione,,,PerfumersWorld,0.75,USD (per g),0.75
3CR00317 [PerfumersWorld],Nerol,,,PerfumersWorld,0.20,USD (per g),0.20
7CN00318 [PerfumersWorld],Neroli Essential Oil,,,PerfumersWorld,20.72,USD (per g),20.72
5CN07545 [PerfumersWorld],Neroli Essential Oil 10% in DPG,,,PerfumersWorld,1.92,USD (per g),1.92
6CN18131 [PerfumersWorld],NEROLI F-TEC ,,,PerfumersWorld,0.15,USD (per g),0.15
6CN09093 [PerfumersWorld],Neroli Fleuressence,,,PerfumersWorld,0.31,USD (per g),0.31
3LM00319 [PerfumersWorld],Nerolidol,,,PerfumersWorld,0.17,USD (per g),0.17
1CN00320 [PerfumersWorld],Nerolin Bromelia,,,PerfumersWorld,0.15,USD (per g),0.15
5CN09239 [PerfumersWorld],Nerolin Bromelia 10% in DPG,,,PerfumersWorld,0.07,USD (per g),0.07
1CN00321 [PerfumersWorld],Nerolin Yara yara,,,PerfumersWorld,0.11,USD (per g),0.11
5CN09971 [PerfumersWorld],Nerolin Yara Yara 10% in DPG,,,PerfumersWorld,0.04,USD (per g),0.04
3RF05061 [PerfumersWorld],Neryl Acetate,,,PerfumersWorld,0.20,USD (per g),0.20
6VD18542 [PerfumersWorld],NEW MOWN HAY F-TEC,,,PerfumersWorld,0.15,USD (per g),0.15
6VD09091 [PerfumersWorld],New Mown Hay Fleuressence,,,PerfumersWorld,0.20,USD (per g),0.20
7BH07692 [PerfumersWorld],Niaouli essential oil,,,PerfumersWorld,0.47,USD (per g),0.47
6XU18880 [PerfumersWorld],NITRO MUSK F-TEC,,,PerfumersWorld,0.12,USD (per g),0.12
6XU09117 [PerfumersWorld],Nitro Musk Fleuressence,,,PerfumersWorld,0.14,USD (per g),0.14
3LA00326 [PerfumersWorld],Nopyl Acetate,,,PerfumersWorld,0.14,USD (per g),0.14
6EW18930 [PerfumersWorld],NUT F-TEC,,,PerfumersWorld,0.24,USD (per g),0.24
6EW09105 [PerfumersWorld],Nut Fleuressence,,,PerfumersWorld,0.22,USD (per g),0.22
