Category,Name,CAS,URL
aroma_chemicals,Aroma Chemicals : Fruitate 5 ml,80657-64-3,https://www.simplescentsdiy.com/product/35026-34504/fruitate
aroma_chemicals,Aroma Chemicals :Phenoxanol 15 ml,55066-48-3,https://www.simplescentsdiy.com/product/35897-35606/phenoxanol
aroma_chemicals,Aroma Chemicals : Muscenone 5 ml,82356-51-2,https://www.simplescentsdiy.com/product/35421-34921/muscenone
aroma_chemicals,Aroma Chemicals : Terpineol 15 ml,,https://www.simplescentsdiy.com/product/35423-34923/terpineol
aroma_chemicals,Aroma Chemicals : Octahydrocoumarin 15 ml,4430-31-3,https://www.simplescentsdiy.com/product/35604-35236/octahydrocoumarin
specialty_bases,Prunella 975617 5 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34772-34243/prunella-975617
specialty_bases,Lilial Replacer 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/35998-35707/lilial-replacer
specialty_bases,Neroli Base 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/36000-35709/neroli-base
specialty_bases,Dorinia SA 939680 5 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34770-34241/dorinia-sa-939680
specialty_bases,Tuberose Base 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34760-34231/tuberosebase
specialty_bases,Lyral Replacer 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/35997-35706/lyral-replacer
specialty_bases,Chocovan 2 gl / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34932-34403/chocovan
specialty_bases,Fruit Sec 184078 5 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34771-34242/fruit-sec
specialty_bases,Cassis Base 345B 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34761-34232/casisbase345b
specialty_bases,Oud 3 Base 5 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34759-34230/oud3base
specialty_bases,Amber 2 Base 10% DPG 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34755-34226/amber2base-
specialty_bases,Galbex 183 5 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/33423-32698/galbex183
specialty_bases,Animal Base 5 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34756-34227/animalbase
specialty_bases,Styrax Base 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/35999-35708/styrax-base
specialty_bases,Apple Oliffac Base 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/35659-35323/apple-oliffac
specialty_bases,Oud Cambodia 15 ml / Specialty Base for Blend,,https://www.simplescentsdiy.com/product/34758-34229/oudcambodia
compound_bases,Molecule 01 Patchouli 15 ml,,https://www.simplescentsdiy.com/product/36049-35758/molecule-01-patchouli-15-ml
compound_bases,Tobacco Base 15 ml,,https://www.simplescentsdiy.com/product/36044-35753/tobacco-base-15-ml
compound_bases,Woody Base 15 ml,,https://www.simplescentsdiy.com/product/36040-35749/woody-base-15-ml
compound_bases,Vetiver Base,,https://www.simplescentsdiy.com/product/36042-35751/vetiver-base-15-ml
compound_bases,Vanilla Base 15 ml,,https://www.simplescentsdiy.com/product/36043-35752/vanilla-base-15-ml
compound_bases,Floral Bouquet Base 15 ml,,https://www.simplescentsdiy.com/product/36034-35743/floral-bouquet-base-15-ml
compound_bases,Guaiac Wood Reco 15 ml,,https://www.simplescentsdiy.com/product/36051-35760/guaiac-wood-reco-15-ml
compound_bases,DO - Biscuit Base 15 ml,,https://www.simplescentsdiy.com/product/36037-35746/do-biscuit-base-15-ml
compound_bases,Gourmand 2 Base 15 ml,,https://www.simplescentsdiy.com/product/36053-35762/gourmand-2-base-15-ml
compound_bases,Smoky 1 Base 15 ml,,https://www.simplescentsdiy.com/product/36045-35754/smoky-1-base-15-ml
compound_bases,Amber Base 15 ml,,https://www.simplescentsdiy.com/product/36055-35764/amber-base-15-ml
compound_bases,Powdery Base 15 ml,,https://www.simplescentsdiy.com/product/36048-35757/powdery-base-15-ml
compound_bases,Oriental for Women 15 ml,,https://www.simplescentsdiy.com/product/36026-35735/oriental-for-women-15-ml
compound_bases,Gourmand Base 15 ml,,https://www.simplescentsdiy.com/product/36052-35761/gourmand-base-15-ml
compound_bases,Fruity Osmanthus Base 15 ml,,https://www.simplescentsdiy.com/product/36033-35742/fruity-osmanthus-base-15-ml
compound_bases,White Musk Base 15 ml,,https://www.simplescentsdiy.com/product/36041-35750/white-musk-base-15-ml
compound_bases,Palo Santo Base 15 ml,,https://www.simplescentsdiy.com/product/36038-35747/palo-santo-base-15-ml
compound_bases,Geranium Base 15 ml,,https://www.simplescentsdiy.com/product/36032-35741/geranium-base-15-ml
compound_bases,DO - Choco Base 15 ml,,https://www.simplescentsdiy.com/product/36036-35745/do-choco-base-15-ml
compound_bases,Rosewood Base 15 ml,,https://www.simplescentsdiy.com/product/36047-35756/rosewood-base-15-ml
compound_bases,Oriental for Men 15 ml,,https://www.simplescentsdiy.com/product/36027-35736/oriental-for-men-15-ml
compound_bases,Ocean Base 15 ml,,https://www.simplescentsdiy.com/product/36029-35738/ocean-base-15-ml
compound_bases,Ginger Scent Base 15 ml,,https://www.simplescentsdiy.com/product/36031-35740/ginger-scent-base-15-ml
compound_bases,Molecule - Iris 15 ml,,https://www.simplescentsdiy.com/product/36030-35739/molecule-iris-15-ml
compound_bases,Leather Base 15 ml,,https://www.simplescentsdiy.com/product/36050-35759/leather-base-15-ml
compound_bases,Pink Pepper Base 15 ml,,https://www.simplescentsdiy.com/product/36025-35734/pink-pepper-base-15-ml
compound_bases,Santal Base 15 ml,,https://www.simplescentsdiy.com/product/36046-35755/santal-base-15-ml
compound_bases,Musk Base 15 ml,,https://www.simplescentsdiy.com/product/36039-35748/musk-base-15-ml
compound_bases,Vanillys Base 15 ml,,https://www.simplescentsdiy.com/product/36035-35744/vanillys-base-15-ml
compound_bases,Benzoin Base 15 ml,,https://www.simplescentsdiy.com/product/36054-35763/benzoin-base-15-ml
