Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
Geranium Base [SimpleScents],Geranium Base,Mixture,,SimpleScents,80.0,THB (Unit),3.2
"Geranium Cyclohexane, Geranodyle [MySkinRecipes]","Geranium Cyclohexane, Geranodyle",42822-86-6,,MySkinRecipes,8950.0,THB (per kg),8.95
Geranyl Acetate [PerfumersWorld],Geranyl Acetate,105-87-3,,PerfumersWorld,0.2,USD (per g),6.8
Geranyl Acetate (FEMA-2509) [MySkinRecipes],Geranyl Acetate (FEMA-2509),105-87-3,2509.0,MySkinRecipes,2376.0,THB (per kg),2.376
Geranyl Butyrate [PerfumersWorld],Geranyl Butyrate,106-29-6,,PerfumersWorld,0.81,USD (per g),27.54
Geranyl Butyrate (FEMA-2512) [MySkinRecipes],Geranyl Butyrate (FEMA-2512),106-29-6,2512.0,MySkinRecipes,3960.0,THB (per kg),3.96
Geranyl Formate [PerfumersWorld],Geranyl Formate,105-86-2,,PerfumersWorld,0.3,USD (per g),10.2
Geranyl Formate (FEMA-2514) [MySkinRecipes],Geranyl Formate (FEMA-2514),105-86-2,2514.0,MySkinRecipes,2700.0,THB (per kg),2.7
Geranyl Isobutyrate (FEMA-2513) [MySkinRecipes],Geranyl Isobutyrate (FEMA-2513),2345-26-8,2513.0,MySkinRecipes,5450.0,THB (per kg),5.45
Geranyl Isovalerate (FEMA-2518) [MySkinRecipes],Geranyl Isovalerate (FEMA-2518),109-20-6,2518.0,MySkinRecipes,6750.0,THB (per kg),6.75
Geranyl Nitrile [MySkinRecipes],Geranyl Nitrile,5146-66-7,,MySkinRecipes,4320.0,THB (per kg),4.32
Geranyl Phenylacetate [PerfumersWorld],Geranyl Phenylacetate,102-22-7,,PerfumersWorld,1.9,USD (per g),64.6
Geranyl Propionate (FEMA-2517) [MySkinRecipes],Geranyl Propionate (FEMA-2517),105-90-8,2517.0,MySkinRecipes,3330.0,THB (per kg),3.33
Ginger Essential Oil Ginger Oil [SimpleScents],Ginger Essential Oil Ginger Oil,8007-08-7,,SimpleScents,300.0,THB (Unit),12.0
Ginger Scent Base [SimpleScents],Ginger Scent Base,8007-08-7,,SimpleScents,80.0,THB (Unit),3.2
Givescone [PerfumersWorld],Givescone,57934-97-1,,PerfumersWorld,1.57,USD (per g),53.38
Globanone [MySkinRecipes],Globanone,3100-36-5,,MySkinRecipes,43092.0,THB (per kg),43.092
Glycolierral [PerfumersWorld],Glycolierral,68901-32-6,,PerfumersWorld,0.59,USD (per g),20.06
Gourmand 2 Base [SimpleScents],Gourmand 2 Base,Mixture,,SimpleScents,80.0,THB (Unit),3.2
Gourmand Base [SimpleScents],Gourmand Base,Mixture,,SimpleScents,80.0,THB (Unit),3.2
